game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (45-24),1,24,32,359,4,34,135,2,4.0,66,7.5,2,7,2,22,7,64,0,1,1,2,22,37,346,1,27,113,2,4.2,64,7.2,4,6,4,23,2,30,1,1
W (31-29),2,15,24,222,2,34,128,2,3.8,58,6.0,4,7,4,20,5,45,2,0,0,1,20,34,305,1,41,152,2,3.7,75,6.1,1,10,1,20,18,131,0,1
W (39-17),0,18,25,170,2,36,282,3,7.8,61,7.4,1,10,1,20,12,99,0,0,1,1,14,27,104,0,35,209,1,6.0,62,5.0,3,10,3,19,6,60,1,0
W (38-20),1,27,36,268,2,32,152,2,4.8,68,6.2,1,9,1,24,8,50,0,1,1,1,8,22,76,0,35,197,1,5.6,57,4.8,1,11,1,15,7,53,0,1
W (56-19),0,31,42,490,6,19,78,2,4.1,61,9.3,1,3,1,22,5,60,0,0,1,2,22,47,264,1,28,138,1,4.9,75,5.4,3,8,3,21,3,29,0,2
W (41-7),1,29,39,536,4,33,177,1,5.4,72,9.9,3,8,3,29,11,110,0,1,0,1,14,35,208,0,27,53,1,2.0,62,4.2,3,4,3,15,11,83,0,1
W (31-24),1,30,40,363,0,26,111,4,4.3,66,7.2,2,8,2,27,12,125,1,0,0,1,27,39,232,3,31,110,0,3.5,70,4.9,6,8,6,27,8,60,0,1
W (15-7),4,27,42,275,0,13,13,0,1.0,55,5.2,3,3,3,17,5,51,2,2,1,1,26,47,196,0,31,145,1,4.7,78,4.4,2,10,2,20,7,71,0,1
W (73-0),0,30,33,422,3,49,220,6,4.5,82,7.8,5,13,5,36,6,65,0,0,1,1,13,27,160,0,23,48,0,2.1,50,4.2,2,3,2,10,14,111,1,0
W (66-17),2,30,35,476,6,28,119,2,4.3,63,9.4,2,7,2,27,7,65,1,1,0,5,17,27,217,2,46,71,0,1.5,73,3.9,0,8,0,17,7,33,0,5
W (50-20),1,26,39,366,3,41,157,2,3.8,80,6.5,4,13,4,30,5,35,0,1,1,2,19,37,202,2,27,150,0,5.6,64,5.5,0,9,0,16,6,41,0,2
W (31-29),1,25,38,253,3,46,189,1,4.1,84,5.3,4,13,4,30,6,37,0,1,1,0,16,30,248,2,41,149,1,3.6,71,5.6,3,8,3,20,7,51,0,0
W (37-10),0,22,36,300,3,39,158,1,4.1,75,6.1,1,7,1,24,5,40,0,0,1,3,14,26,149,1,25,27,0,1.1,51,3.5,0,3,0,8,5,25,1,2
W (31-10),1,11,21,131,2,31,185,1,6.0,52,6.1,0,7,0,13,6,40,1,0,1,1,17,28,136,0,38,155,1,4.1,66,4.4,2,8,2,17,3,30,0,1
